BTC-USD
ETH-USD
USDT-USD
BNB-USD
SOL-USD
USDC-USD
XRP-USD
STETH-USD
DOGE-USD
WTRX-USD
TRX-USD
TON11419-USD
ADA-USD
WSTETH-USD
AVAX-USD
WBTC-USD
WETH-USD
SHIB-USD
LINK-USD
BCH-USD
DOT-USD
EDLC-USD
LEO-USD
DAI-USD
LTC-USD
NEAR-USD
EETH-USD
MATIC-USD
WEETH-USD
KAS-USD
BTCB-USD
UNI7083-USD
ICP-USD
PEPE24478-USD
APT21794-USD
WBETH-USD
XMR-USD
FET-USD
USDE29470-USD
FDUSD-USD
ETC-USD
XLM-USD
IMX10603-USD
STX4847-USD
OKB-USD
CRO-USD
SUI20947-USD
FIL-USD
TAO22974-USD
R
MNT27075-USD
AAVE-USD
HBAR-USD
ATOM-USD
ARB11841-USD
VET-USD
JITOSOL-USD
OP-USD
INJ-USD
MKR-USD
ZBU-USD
WIF-USD
AR-USD
GRT6719-USD
RETH-USD
BGB-USD
RUNE-USD
PUFETH-USD
METH29035-USD
SUSDE-USD
FLZ-USD
FLOKI-USD
BONK-USD
THETA-USD
FTM-USD
HNT-USD
ALGO-USD
CHEEL-USD
JUP29210-USD
PYTH-USD
KCS-USD
JASMY-USD
SEI-USD
LDO-USD
EZETH-USD
TIA22861-USD
PYUSD-USD
ONDO-USD
CORE23254-USD
NOT-USD
FLOW-USD
WBNB-USD
BSV-USD
BTT-USD
BRETT29743-USD
VBNB-USD
EGLD-USD
USDCE-USD
OM-USD
QNT-USD
USDD-USD
BEAM28298-USD
EOS-USD
FTN-USD
AXS-USD
NEO-USD
GT-USD
FLR-USD
MSOL-USD
GALA-USD
D
XTZ-USD
FRAX-USD
AKT-USD
RSETH-USD
1000SATS-USD
XAUT-USD
XEC-USD
WLD-USD
SAND-USD
ENS-USD
STRK22691-USD
ORDI-USD
RON14101-USD
CFX-USD
POPCAT28782-USD
DYDX-USD
MSTETH-USD
NEXO-USD
W-USD
ZEC-USD
KLAY-USD
MANA-USD
PENDLE-USD
MINA-USD
TUSD-USD
BNX23635-USD
CHZ-USD
CAKE-USD
PAXG-USD
AIOZ-USD
ZRO26997-USD
CBETH-USD
NFT9816-USD
LUNC-USD
ASTR-USD
SNX-USD
ENA-USD
DEXE-USD
BOME-USD
IOTA-USD
FTT-USD
LPT-USD
AXL17799-USD
RAY-USD
SFRXETH-USD
XDC-USD
GNO-USD
ZK24091-USD
SFP-USD
BTG-USD
TFUEL-USD
COMP5692-USD
APE18876-USD
PEOPLE-USD
MEW30126-USD
ROSE-USD
SWETH-USD
CKB-USD
SAFE21585-USD
MX-USD
TWT-USD
WEMIX-USD
AERO29270-USD
SUN-USD
BDX-USD
MOG-USD
SUPER8290-USD
KAVA-USD
USDY29256-USD
CRV-USD
IOTX-USD
AMP-USD
PEPECOIN-USD
BTCB20721-USD
JST-USD
1INCH-USD
ORBR-USD
ETHX-USD
WPLS-USD
BLUR-USD
WOO-USD
AEVO-USD
HOT2682-USD
IPV28367-USD
DASH-USD
KSM-USD
GLM-USD
GAL11877-USD
JTO-USD
